수집일자,방송시간,품목명,가격
2026-09-06,오전 00시,카테고리,"547,000원"
2026-09-06,오전 00시,전체 방송 상품 수,"547,000원"
2026-09-06,오전 00시,에이스바이옴 [비에날씬] [방송에서만]프로 다이어트 유산균 9박스+프로틴 14포+텀블러+클라메딕 갈바닉 뷰티디바이스,"547,000원"
2026-09-06,오전 12:14~01:16,닥터 린 [50％세일] 닥터린 콘드로이친 1200 콘레이티+MBP 12박스(12개월)+컬리케일 2박스,"143,880원"
2026-09-06,오전 12:35~01:35,안국 약품 [SALE] 안국약품 토비콤 루테인 지아잔틴 아스타잔틴 12개월분,"140,600원"
2026-09-06,오전 12:36~01:36,스케쳐스 스케쳐스 26FW 최신상 여성용 릴랙스드 코지 슬립인스 워킹화,"129,000원"
2026-09-06,오전 12:39~01:39,테팔 테팔 와이드 플랜차 그릴,"210,800원"
2026-09-06,오전 12:40~01:39,크린바바 [더블][크린바바] 한번에 싹 버블왕 플러스 (100포 구성),"59,800원"
2026-09-06,오전 12:41~01:41,[No brand names found.] [방송한정 패키지] 사임당 발패치 60매 + (방송에서만) 10매,"59,800원"
2026-09-06,오전 12:41~02:01,[No brand names found.] [한국금자산관리] KGAM 24K 순금 99.99% 복돼지 2마리 오브제,"1,790,000원"
2026-09-06,오전 01:00~02:15,관절엔 DEM [방송에서만] 관절엔 DEM 12개월분,"648,000원"
2026-09-06,오전 01:00~02:15,하루틴 하루틴 리포좀 비타민C 프로 12+ 3개월분(총 15개월분)+ 리포좀 비타민c 스틱 10포 5박스,"188,100원"
2026-09-06,오전 01:00~02:15,데이즈 온 [방송에서만 6+3][더블]데이즈온 파라다이스 그레인 버닝 12주분(700mg x 28정 x 6박스)+3박스 더,"223,200원"
2026-09-06,오전 01:00~02:15,[No brand names found.] [최다구성패키지] 도미나스 3X 플럼핑 NMN 세럼 30ml*6통+ (전고객) 도미나스 에센스 70ml*1통 + 세럼 체험분 1ml*7매,"159,000원"
2026-09-06,오전 01:00~02:10,그레인온 그레인온 파로 280gX30봉,"154,000원"
2026-09-06,오전 01:01~02:01,하루틴 [하루틴] [방송에서만][S]하루틴 리포좀 비타민C 프로 12개월+3개월+ 비타민C스틱 10포 3박스,"199,000원"
2026-09-06,오전 01:36~02:36,뉴트리 에버콜라겐 레티놀A GPH콜라겐 19병 (76주분),"629,000원"
2026-09-06,오전 01:39~02:40,펠틱스 펠틱스 남성 컴포트 수트셋업 2종,"39,900원"
2026-09-06,오전 01:40~02:39,인터쿡 인터쿡 토마호크 로스돔 3종 세트,"84,150원"
2026-09-06,오전 01:40~02:40,프롬바이오 [방송혜택] 프롬바이오 위엔 매스틱 캡슐 24주분,"599,000원"
2026-09-06,오전 01:41~02:41,No brand names found. ○ ★최다구성★ 24K 순금 시그니처 볼륨 반지 더블 세트 + 24K 순금 럭키 H 반지 (총 11종),"898,000원"
2026-09-06,오전 01:45~02:45,비비안 초경량 사계절 리프팅 브라팬티 5세트,"89,950원"
2026-09-06,오전 02:01~03:01,필립스 [필립스] (방송에서만)(더블구성)필립스 이지프로 S2883 면도기 1+1 (본품2대),"102,370원"
2026-09-06,오전 02:10~03:10,안방그릴 안방그릴 MAX(AB1201MF),"239,000원"
2026-09-06,오전 02:15~03:25,[No brand names found.] 셀리노바 스킨 시그널 플럼 BB 1통,"129,000원"
2026-09-06,오전 02:15~03:30,쿡셀 쿡셀 홀로그램 IH 큐브팬 패키지,"169,200원"
2026-09-06,오전 02:15~03:30,에버홈 [에버홈] 진공 스팀 다리미 PRO+행거 스탠드,"149,000원"
2026-09-06,오전 02:22~03:22,포니 [삼성카드5%할인]26년 여성 포니 다이얼 컴포트화,"75,050원"
2026-09-06,오전 02:35~03:45,안면도 태양초 고춧가루 2026 안면도 태양초 고춧가루 500g x 4EA (총 2kg)+고추씨 300g x 1ea,"79,900원"
2026-09-06,오전 02:35~03:34,"모시로만 모시로만 떡 4종, 총 12팩(동부 6+참깨 2+흑임자 2+흰깨 2, 총 120알)","35,010원"
2026-09-06,오전 02:36~03:36,쏘내추럴 쏘내추럴 26FW 시퀸 볼륨 점퍼,"99,900원"
2026-09-06,오전 02:40~03:39,렌가드 [방송에서만][600] 렌가드 주방 후드 필터 60cm 2년 세트 / 필터 8개 (기본필터포함),"42,420원"
2026-09-06,오전 02:40~03:40,라끄베르 라끄베르 아무때나 때필링 3+대용량 바디워시1,"32,370원"
2026-09-06,오전 03:01~04:01,스케쳐스 [스케쳐스] 여성 밥스 비 플렉스 하이 슬립인스,"119,000원"
2026-09-06,오전 03:17~04:17,월드컵 [월드컵] 26년신상 남성 에어 워킹화,"24,900원"
2026-09-06,오전 03:22~04:22,"아임 피쉬 [삼성카드5%할인]가시바른 순살 볼락 500g x 6팩(필렛당 100g), 총 3kg(30필렛)","50,920원"
2026-09-06,오전 03:30~04:40,아디다스 [앱10%할인+드로즈 2종 더][아디다스]클라이마 쿨 더 액티브 드로즈 8종(26-3차),"89,100원"
2026-09-06,오전 03:35~04:34,클라비스 [반값세일] 클라비스 비타 팔찌+목걸이 세트,"158,400원"
2026-09-06,오전 03:36~04:36,라삐아프 라삐아프 26FW 프린지 멀티 체크 아우터 셔츠 1종,"62,910원"
2026-09-06,오전 03:40~04:39,전국한우협회 [전국한우협회] 한우 1++ 스테이크 7팩+1팩,"69,900원"
2026-09-06,오전 03:40~04:41,[No brand names found.] 아이넥스 홈그린 프리미엄 빨래건조대,"288,000원"
2026-09-06,오전 03:41~04:41,"이종임 이종임 영광 모시송편 2종 120개 세트 (동부 생모시송편 400gX8팩+흑임자 생모시송편 400gX4팩, 팩당 10개)","34,710원"
2026-09-06,오전 03:45~04:45,No brand names found. 26FW FAUX레더 봄버재킷,"89,900원"
2026-09-06,오전 03:45~04:55,안동 안동간고등어 특대 140g×17팩,"39,900원"
2026-09-06,오전 04:30~05:30,멜라클린 [무36]멜라클린 기미 잡티 피부톤 의료기기,"319,000원"
2026-09-06,오전 04:34~05:34,보스티나 [전고객 무선 볼륨 고데기]보스티나 염색제 세트,"71,910원"
2026-09-06,오전 04:37~05:37,전설의 패치 [방송에서만 체험찬스 준대형 16매] 전설의 패치 프리미엄 586매 (준대형 240매+그립형 90매+소형 180매+대형 60매+체험찬스 준대형 16매),"99,900원"
2026-09-06,오전 04:41~05:41,메이페어 (50%세일)메이페어 플뢰르데샹 유리밀폐용기세트(11종),"99,000원"
2026-09-06,오전 04:41~05:41,닥터스 노트 팔레오 초임계 rTG 알티지 오메가3 12박스(12개월),"164,340원"
2026-09-06,오전 04:41~05:41,[No brand names found.] 최명희명인 수제 고추장 만들기 세트,"76,470원"
2026-09-06,오전 04:45~05:45,락포트 [공식정품] 트루테크 슈렁큰 램스킨 로퍼,"179,000원"
2026-09-06,오전 04:45~05:55,글램팜 글램팜 이진아패키지 GP201미용실고데기+GP103미니고데기+블랙파우치 3종모두 파격가,"249,000원"
2026-09-06,오전 04:55~06:05,[No brand names found.] [26년] 참기름의 정석 국산 참기름 세트 150mlx4병+스틱들기름 5매,"59,900원"
2026-09-06,오전 05:10~06:10,쿠쿠 쿠쿠 에어레인지(CMW-KO2510EW),"234,000원"
2026-09-06,오전 05:40~06:19,구찌 {구찌} 시그니쳐 울실크 투톤 숄(165904),"349,000원"
2026-09-06,오전 05:41~06:40,OILILY ○by 오일릴리 26FW 에센셜 울 100 시퀸 터틀 니트,"74,760원"
2026-09-06,오전 05:41~07:01,[No brand names found.] 육전용 홍두깨살 1.6kg (200gX8팩),"52,110원"
2026-09-06,오전 05:45~06:45,지 스튜디오 [온플] 26FW 뉴 웨더 프로텍션 스커트,"99,000원"
2026-09-06,오전 05:55~07:05,덴프스 덴프스 LGG 덴마크 유산균이야기 12개월분,"183,000원"
2026-09-06,오전 06:00~07:10,라베키아 ★쇼리 특별 혜택가!★ 라베키아 발사믹 세트(35년산 1병 + 10년산 1병 + 화이트 발사믹 1병),"155,000원"
2026-09-06,오전 06:01~07:01,"안방 [안방] (방송에서만 사은품)안방그릴 맥스 AB1201MF (+스텐밧드 2종, 보관가방,스텐트레이,소스볼,필터10장)","209,000원"
2026-09-06,오전 06:05~07:15,순천농협 2026 순천농협 순천향미(골든퀸2호) 20kg,"73,900원"
2026-09-06,오전 06:23~07:23,무드 매쳐 [삼성카드7%할인]미국 직수입★ [무드매쳐] 반전 립스틱 x 6종 기본 패키지 (+ 포토상품평 아뜰리에 토트백),"66,410원"
2026-09-06,오전 06:30~07:30,ONLY HAIR [패밀리 패키지] 염색제 14박스(다크브라운/내츄럴블랙) + 체험분 1,"158,000원"
2026-09-06,오전 06:38~07:38,덴프스 덴프스 혈당케어 프로 12개월분+10일분 더,"68,400원"
2026-09-06,오전 06:41~07:42,슈리오 [10%즉시할인][슈리오] 노바 컴포트 스니커즈,"48,440원"
2026-09-06,오전 06:42~07:42,아이넥스 아이넥스 클린엣지 5.0 플러스 식기건조대,"116,000원"
2026-09-06,오전 07:05~08:20,위엔 [방송에서만] 위엔 매스틱 12주+4주(4박스),"399,000원"
2026-09-06,오전 07:10~08:15,베카 베카 시즈닝 무쇠팬 풀세트,"219,000원"
2026-09-06,오전 07:10~08:15,알렉스 알렉스 우삼겹구이 160gX12팩(총 1.92kg),"52,110원"
2026-09-06,오전 07:19~08:19,그레인 온 (50프로세일)그레인온 골드 카무트 브랜드밀 효소 30포 12박스 +파로 5팩+ 파로 누룽지 1박스(10봉),"178,000원"
2026-09-06,오전 07:23~08:24,비너지 [방송에서만 반값세일] 비너지 유기농 대마종자유 총 12개월분(A),"134,000원"
2026-09-06,오전 07:30~08:35,아디다스 [+티셔츠추가]남성 하이드로 5.0 Plus 퍼포먼스 수트 4종,"149,000원"
2026-09-06,오전 07:42~08:42,[No brand names found.] 블라우풍트 블루클립스 귀찌형 블루투스 이어폰,"149,070원"
2026-09-06,오전 08:01~09:01,에코센스 [에코센스 히트락] (최대용량)(방송에서만)에코센스 히트락 올트라이탄 밀폐용기 14종,"79,800원"
2026-09-06,오전 08:15~09:20,락토 핏 [99특가] 락토핏 코어맥스 유산균 180포x2통+30포x4박스+복부마사지기,"89,100원"
2026-09-06,오전 08:24~09:24,"필립스 [삼성카드5%할인,일시불 할인][반값 SALE] 필립스 이지프로 전기면도기 S2883/00","87,150원"
2026-09-06,오전 08:25~09:40,블루밍 블루밍비데 방수플러스,"129,000원"
2026-09-06,오전 08:38~09:38,쿡셀 쿡셀 홀로그램 IH 큐브팬 패키지,"149,200원"
2026-09-06,오전 09:38~10:38,대상웰라이프 뉴케어 구수한맛 밸런스업 144팩,"260,100원"
2026-09-06,오전 09:40~10:50,바다향 [바다향]메로구이 100g*8팩+소스30g*8봉,"59,900원"
2026-09-06,오전 09:42~10:42,메이페어 메이페어 플뢰르데샹 유리밀폐용기세트(11종),"180,940원"
2026-09-06,오전 10:25~11:30,아메리칸 투어 리스터 [방송에서만 최저가][아메리칸투어리스터] 락케이션 플러스 여행가방 9종 세트,"311,220원"
2026-09-06,오전 10:30~11:30,No brand names found. 24K 순금 포르투나 빅 목걸이 + 24K 순금 포르투나 쁘띠 펜던트 목걸이 + 14K 골든볼 천연 가넷 목걸이 팔찌 세트,"755,000원"
2026-09-06,오전 10:42~11:42,보디가드 [보디가드] 26SS 남성 COOL메쉬 드로즈 10종,"41,420원"
2026-09-06,오전 10:42~11:42,위드 프레쉬 국내산 햇 절단꽃게 350g x 6팩,"43,410원"
